SS0012978 0 4  0 4 
SSC00004 -4 12  -4 12 
SSC00005 -4 12  -4 12 
SSC00012 12 -4  12 -4 
SSC00013 -4 -8  -4 -8 
SSC00083 -4 12  -4 12 
SSC00084 12 -4  12 -4 
SSC00117 -4 -4  -4 -4 
SSC00118 4 4  4 4 
SSC00138 -4 0  -4 0 
SSC00139 4 -4  4 -4 
SSC00174 4 8  4 8 
SSC00175 -4 4  -4 4 
SSC00185 4 8  4 4 
SSC00186 -4 -4  -4 -4 
SSC00252 -4 4  -4 4 
SSC00253 -4 4  -4 4 
SSC00255 -4 4  -4 4 
SSC00256 4 4  4 4 
SSC00318 -4 -4  -4 -4 
SSC00369 4 -4  4 -4 
SSC00381 0 12  0 12 
SSC00382 16 20  16 12 
SSC00470 -4 12  -4 12 
SSC00472 4 4  4 4 
SSC00473 -4 -4  -4 -4 
SSC00519 12 0  12 0 
SSC00520 12 4  12 4 
SSC00535 0 -4  0 -4 
SSC00536 12 4  12 4 
SSC00544 -4 4  -4 4 
SSC00545 4 4  4 4 
SSC00621 12 -4  12 -4 
SSC00623 -4 -4  -4 -4 
SSC00627 4 -4  4 -4 
SSC00628 -4 4  -4 4 
SSC00634 -4 12  -4 12 
SSC00635 8 -4  8 -4 
SSC00655 4 -8  4 -8 
SSC00656 -4 4  -4 4 
SSC00663 -4 -4  -4 -4 
SSC00664 4 4  4 4 
SSC00734 -4 12  -4 8 
SSC00735 -4 4  -4 4 
SSC00738 4 4  4 8 
SSC00765 -4 4  -4 4 
SSC00766 0 12  0 12 
SSC00771 -4 4  -4 4 
SSC00772 4 -4  4 -4 
SSC00774 0 -4  0 -4 
SSC00775 4 -4  4 -4 
SSC00811 -4 -4  -4 -4 
SSC00812 -4 4  -4 8 
SSC00836 8 4  8 4 
SSC00837 0 4  0 4 
SSC00853 -4 -4  -4 -4 
SSC00860 -4 -4  -4 -4 
SSC00861 4 4  4 4 
SSC00867 4 4  4 4 
SSC00868 4 -4  4 -4 
SSC00896 12 -4  12 -4 
SSC00897 4 12  4 12 
SSC00905 4 -4  4 4 
SSC00907 4 -4  4 -4 
SSC00948 4 -4  4 -4 
SSC00949 -4 4  -4 4 
SSC00951 4 4  4 -4 
SSC00952 12 4  12 4 
SSC00965 -4 8  -4 8 
SSC00966 -4 4  -4 4 
SSC01005 4 4  4 4 
SSC01111 4 4  4 4 
SSC01112 4 -4  4 -4 
SSC01964 4 -4  4 -4 
SSC01965 -4 -4  -4 -4 
SSC01995 4 -4  4 -4 
SSC01996 -4 4  -4 4 
SSC02022 -4 4  -4 4 
SSC02023 -4 -4  -4 -4 
SSC02028 -4 4  -4 4 
SSC02029 -4 4  -4 4 
SSC02056 4 4  4 4 
SSC02057 4 -4  4 -4 
SSC02063 4 4  4 4 
SSC02066 -4 -4  -4 -4 
SSC02101 4 -8  4 -8 
SSC02106 4 -4  4 -4 
SSC02108 4 -8  4 -8 
SSC02114 12 4  12 4 
SSC02202 4 4  4 4 
SSC02208 4 8  8 4 
SSC02234 4 4  8 4 
SSC02240 4 4  4 4 
SSC02294 -4 -4  -4 -4 
SSC02297 4 4  4 4 
SSC02396 20 0  20 0 
SSC02399 -4 8  -4 8 
SSC02412 12 4  12 4 
SSC02413 4 12  4 12 
SSC02417 4 -4  4 -4 
SSC02420 4 4  4 4 
SSC02421 0 0  0 0 
SSC02423 -4 -4  -4 -4 
SSC02436 16 4  16 4 
SSC02439 8 4  12 4 
SSC02467 -4 4  -4 4 
SSC02468 -4 4  -4 4 
SSC02474 12 4  12 4 
SSC02503 -4 4  -4 4 
SSC02509 4 12  4 12 
SSC02513 4 -4  4 -4 
SSC02523 0 -4  0 -4 
SSC02613 -4 8  -4 4 
SSC02614 4 -4  4 12 
SSC02618 -4 4  -4 4 
SSC02633 -4 4  -4 4 
SSC02650 4 -4  4 -4 
SSC02659 4 12  4 12 
SSC02689 4 0  4 0 
SSC02692 -4 -4  -4 -4 
SSC02704 12 0  12 0 
SSC02710 -4 4  -4 4 
SSC02763 4 -8  4 -8 
SSC02784 4 -4  4 -4 
SSC02786 4 4  4 4 
SSC02790 -4 4  -4 4 
SSC02795 -4 12  -4 12 
SSC02802 0 -4  0 -4 
SSC02803 4 4  4 4 
SSC02805 -4 -4  -4 -4 
SSC02807 4 -4  4 -4 
SSC02854 4 4  4 4 
SSC02857 12 4  12 4 
SSC02865 4 4  4 4 
SSC02870 0 4  0 4 
SSC02892 4 4  4 4 
SSC02898 4 -4  4 -4 
SSC02940 4 -4  4 -4 
SSC02942 -4 4  -4 4 
SSC02946 12 16  12 16 
SSC02948 4 4  4 4 
